"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"13:07","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Taine Murray, Isaac McKneely, Jacob Groves)",787,"Cav Sub"," ","Cavaliers",7,4,"Opp","vsNCST",21
1,"13:05","DJ Horne misses three point jump shot",785,"Missed Three","misses","DJ Horne",7,4,"Opp","vsNCST",21
1,"13:00","Mohamed Diarra offensive rebound",780,"Off Rebound","offensive rebound","Mohamed Diarra",7,4,"Opp","vsNCST",21
1,"12:58","Mohamed Diarra misses two point layup",778,"Missed Two","misses","Mohamed Diarra",7,4,"Opp","vsNCST",21
1,"12:50","Jacob Groves defensive rebound",770,"Def Rebound","defensive rebound","Jacob Groves",7,4,"Cavs","vsNCST",22
1,"12:48","Isaac McKneely misses three point jump shot",768,"Missed Three","misses","Isaac McKneely",7,4,"Cavs","vsNCST",22
1,"12:29","Michael O'Connell defensive rebound",749,"Def Rebound","defensive rebound","Michael O'Connell",7,4,"Opp","vsNCST",23
1,"12:28","Michael O'Connell makes three point jump shot (D.J. Burns Jr. assists)",748,"Made Three","makes","Michael O'Connell",7,7,"Opp","vsNCST",23
1,"12:28","Reece Beekman shooting foul (Michael O'Connell draws the foul)",748,"Foul","shooting foul","Reece Beekman",7,7,"Opp","vsNCST",23
1,"12:28","Wolfpack lineup change (MJ Rice, Jayden Taylor, Michael O'Connell, Casey Morsell, D.J. Burns Jr.)",748,"Opp Sub"," ","Wolfpack",7,7,"Opp","vsNCST",23
1,"12:28","Michael O'Connell misses regular free throw 1 of 1",748,"Missed FT","misses","Michael O'Connell",7,7,"Opp","vsNCST",23
1,"12:16","Isaac McKneely defensive rebound",736,"Def Rebound","defensive rebound","Isaac McKneely",7,7,"Cavs","vsNCST",24
1,"11:58","Jacob Groves makes two point layup (Reece Beekman assists)",718,"Made Two","makes","Jacob Groves",9,7,"Opp","vsNCST",25
1,"11:56","D.J. Burns Jr. misses two point layup",716,"Missed Two","misses","D.J. Burns Jr.",9,7,"Opp","vsNCST",25
1,"11:54","MJ Rice offensive rebound",714,"Off Rebound","offensive rebound","MJ Rice",9,7,"Opp","vsNCST",25
1,"11:31","MJ Rice makes two point layup",691,"Made Two","makes","MJ Rice",9,9,"Cavs","vsNCST",26
1,"11:14","Isaac McKneely makes two point pullup jump shot",674,"Made Two","makes","Isaac McKneely",11,9,"Opp","vsNCST",27
1,"11:05","D.J. Burns Jr. turnover (bad pass) (Taine Murray steals)",665,"Turnover","turnover","D.J. Burns Jr.",11,9,"Cavs","vsNCST",28
1,"11:03","Isaac McKneely misses three point jump shot",663,"Missed Three","misses","Isaac McKneely",11,9,"Cavs","vsNCST",28
1,"10:58","Casey Morsell defensive rebound",658,"Def Rebound","defensive rebound","Casey Morsell",11,9,"Opp","vsNCST",29
1,"10:56","Jayden Taylor misses two point jump shot",656,"Missed Two","misses","Jayden Taylor",11,9,"Opp","vsNCST",29
1,"10:52","Reece Beekman defensive rebound",652,"Def Rebound","defensive rebound","Reece Beekman",11,9,"Cavs","vsNCST",30
1,"10:52","Michael O'Connell personal foul (Reece Beekman draws the foul)",652,"Foul","personal foul","Michael O'Connell",11,9,"Cavs","vsNCST",30
1,"10:52","TV timeout",652,""," ","TV",11,9,"Cavs","vsNCST",30
1,"10:31","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Taine Murray, Andrew Rohde, Jacob Groves)",631,"Cav Sub"," ","Cavaliers",11,9,"Cavs","vsNCST",30
1,"10:09","Reece Beekman makes two point pullup jump shot",609,"Made Two","makes","Reece Beekman",13,9,"Opp","vsNCST",31
1,"10:07","MJ Rice misses three point jump shot",607,"Missed Three","misses","MJ Rice",13,9,"Opp","vsNCST",31
1,"9:54","Taine Murray defensive rebound",594,"Def Rebound","defensive rebound","Taine Murray",13,9,"Cavs","vsNCST",32
1,"9:32","Blake Buchanan makes two point dunk (Reece Beekman assists)",572,"Made Two","makes","Blake Buchanan",15,9,"Opp","vsNCST",33
1,"9:07","D.J. Burns Jr. makes two point hook shot",547,"Made Two","makes","D.J. Burns Jr.",15,11,"Cavs","vsNCST",34
1,"9:05","Taine Murray misses two point driving layup",545,"Missed Two","misses","Taine Murray",15,11,"Cavs","vsNCST",34
1,"9:00","MJ Rice defensive rebound",540,"Def Rebound","defensive rebound","MJ Rice",15,11,"Opp","vsNCST",35
1,"8:58","Michael O'Connell misses two point driving layup",538,"Missed Two","misses","Michael O'Connell",15,11,"Opp","vsNCST",35
1,"8:56","MJ Rice offensive rebound",536,"Off Rebound","offensive rebound","MJ Rice",15,11,"Opp","vsNCST",35
