"Player","On_court_time","Possessions","efficiency","Pt_diff_perposs","Pt_diff_permin","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds.x","Defensive_plays","Pts.y","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Rebounds.y","Steals","Blocks","fouls"
"Reece Beekman",62751,3268,2.09207821389301,0.067625458996328,0.211311373523928,1797,1576,212,644,1308,164,471,820,447,304,50,69,87,104,230,27,77,97,0,17,47
"Without Reece Beekman",16764,871,1.92197566213314,0.0229621125143513,0.0715819613457409,440,420,70,149,334,56,154,253,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
