"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"12:50","Andrew Rohde personal foul",770,"Foul","personal foul","Andrew Rohde",9,15,"Opp","vsMEM",25
1,"12:50","Tigers lineup change (Jayhlon Young, Malcolm Dandridge, Caleb Mills, Jaykwon Walton, Jayden Hardaway)",770,"Opp Sub"," ","Tigers",9,15,"Opp","vsMEM",25
1,"12:43","Cavaliers lineup change (Reece Beekman, Blake Buchanan, Isaac McKneely, Elijah Gertrude, Leon Bond III)",763,"Cav Sub"," ","Cavaliers",9,15,"Opp","vsMEM",25
1,"12:41","Jayhlon Young misses two point layup",761,"Missed Two","misses","Jayhlon Young",9,15,"Opp","vsMEM",25
1,"12:19","Reece Beekman defensive rebound",739,"Def Rebound","defensive rebound","Reece Beekman",9,15,"Cavs","vsMEM",26
1,"11:48","Reece Beekman makes three point jump shot",708,"Made Three","makes","Reece Beekman",12,15,"Opp","vsMEM",27
1,"11:46","Caleb Mills misses two point jump shot",706,"Missed Two","misses","Caleb Mills",12,15,"Opp","vsMEM",27
1,"11:44","Cavaliers defensive rebound",704,"Def Rebound","defensive rebound","Cavaliers",12,15,"Cavs","vsMEM",28
1,"11:44","TV timeout",704,""," ","TV",12,15,"Cavs","vsMEM",28
1,"11:35","Tigers lineup change (Jayhlon Young, Caleb Mills, Jaykwon Walton, Malcolm Dandridge, David Jones)",695,"Opp Sub"," ","Tigers",12,15,"Cavs","vsMEM",28
1,"11:15","Tigers lineup change (Jahvon Quinerly, David Jones, Caleb Mills, Jaykwon Walton, Malcolm Dandridge)",675,"Opp Sub"," ","Tigers",12,15,"Cavs","vsMEM",28
1,"11:00","Isaac McKneely turnover (lost ball) (Caleb Mills steals)",660,"Turnover","turnover","Isaac McKneely",12,15,"Opp","vsMEM",29
1,"11:00","Elijah Gertrude shooting foul (David Jones draws the foul)",660,"Foul","shooting foul","Elijah Gertrude",12,15,"Opp","vsMEM",29
1,"11:00","David Jones makes regular free throw 1 of 2",660,"Made FT","makes","David Jones",12,16,"Opp","vsMEM",29
1,"10:51","David Jones makes regular free throw 2 of 2",651,"Made FT","makes","David Jones",12,17,"Cavs","vsMEM",30
1,"10:42","Elijah Gertrude makes two point layup (Blake Buchanan assists)",642,"Made Two","makes","Elijah Gertrude",14,17,"Opp","vsMEM",31
1,"10:40","Jaykwon Walton misses three point jump shot",640,"Missed Three","misses","Jaykwon Walton",14,17,"Opp","vsMEM",31
1,"10:13","Blake Buchanan defensive rebound",613,"Def Rebound","defensive rebound","Blake Buchanan",14,17,"Cavs","vsMEM",32
1,"10:05","Reece Beekman turnover (lost ball) (Malcolm Dandridge steals)",605,"Turnover","turnover","Reece Beekman",14,17,"Opp","vsMEM",33
1,"9:46","Caleb Mills makes three point jump shot (David Jones assists)",586,"Made Three","makes","Caleb Mills",14,20,"Cavs","vsMEM",34
1,"9:41","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Isaac McKneely, Andrew Rohde, Ryan Dunn)",581,"Cav Sub"," ","Cavaliers",14,20,"Cavs","vsMEM",34
1,"9:21","Blake Buchanan turnover (lost ball) (Jahvon Quinerly steals)",561,"Turnover","turnover","Blake Buchanan",14,20,"Opp","vsMEM",35
1,"9:06","David Jones makes two point jump shot",546,"Made Two","makes","David Jones",14,22,"Cavs","vsMEM",36
1,"9:06","Jaykwon Walton personal foul",546,"Foul","personal foul","Jaykwon Walton",14,22,"Cavs","vsMEM",36
1,"9:06","Tigers lineup change (David Jones, Nicholas Jourdain, Jaykwon Walton, Jahvon Quinerly, Jayden Hardaway)",546,"Opp Sub"," ","Tigers",14,22,"Cavs","vsMEM",36
1,"8:58","Cavaliers lineup change (Taine Murray, Reece Beekman, Andrew Rohde, Jacob Groves, Ryan Dunn)",538,"Cav Sub"," ","Cavaliers",14,22,"Cavs","vsMEM",36
1,"8:44","Jacob Groves makes two point layup (Andrew Rohde assists)",524,"Made Two","makes","Jacob Groves",16,22,"Opp","vsMEM",37
1,"8:34","David Jones makes three point jump shot (Jahvon Quinerly assists)",514,"Made Three","makes","David Jones",16,25,"Cavs","vsMEM",38
1,"8:32","Andrew Rohde misses three point jump shot",512,"Missed Three","misses","Andrew Rohde",16,25,"Cavs","vsMEM",38
1,"8:28","David Jones defensive rebound",508,"Def Rebound","defensive rebound","David Jones",16,25,"Opp","vsMEM",39
1,"8:26","David Jones misses two point layup",506,"Missed Two","misses","David Jones",16,25,"Opp","vsMEM",39
1,"8:23","Jacob Groves defensive rebound",503,"Def Rebound","defensive rebound","Jacob Groves",16,25,"Cavs","vsMEM",40
1,"8:23","Ryan Dunn makes two point layup (Reece Beekman assists)",503,"Made Two","makes","Ryan Dunn",18,25,"Cavs","vsMEM",40
1,"8:23","Nicholas Jourdain shooting foul (Ryan Dunn draws the foul)",503,"Foul","shooting foul","Nicholas Jourdain",18,25,"Cavs","vsMEM",40
1,"8:23","Tigers lineup change (Nicholas Jourdain, David Jones, Jahvon Quinerly, Jayden Hardaway, Jayhlon Young)",503,"Opp Sub"," ","Tigers",18,25,"Cavs","vsMEM",40
1,"8:23","Ryan Dunn misses regular free throw 1 of 1",503,"Missed FT","misses","Ryan Dunn",18,25,"Cavs","vsMEM",40
1,"8:01","Ryan Dunn offensive rebound",481,"Off Rebound","offensive rebound","Ryan Dunn",18,25,"Cavs","vsMEM",40
1,"7:59","Taine Murray misses three point jump shot",479,"Missed Three","misses","Taine Murray",18,25,"Cavs","vsMEM",40
1,"7:46","Jayden Hardaway defensive rebound",466,"Def Rebound","defensive rebound","Jayden Hardaway",18,25,"Opp","vsMEM",41
1,"7:29","David Jones makes two point jump shot",449,"Made Two","makes","David Jones",18,27,"Cavs","vsMEM",42
1,"7:14","Ryan Dunn makes two point layup (Andrew Rohde assists)",434,"Made Two","makes","Ryan Dunn",20,27,"Opp","vsMEM",43
1,"7:14","Andrew Rohde shooting foul (Jayden Hardaway draws the foul)",434,"Foul","shooting foul","Andrew Rohde",20,27,"Opp","vsMEM",43
1,"7:14","TV timeout",434,""," ","TV",20,27,"Opp","vsMEM",43
1,"7:14","Cavaliers lineup change (Reece Beekman, Isaac McKneely, Taine Murray, Ryan Dunn, Jacob Groves)",434,"Cav Sub"," ","Cavaliers",20,27,"Opp","vsMEM",43
