"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
2,"18:43","Micah Handlogten makes two point tip layup",1123,"Made Two","makes","Micah Handlogten",40,37,"Cavs","vsFLA",69
2,"18:41","Reece Beekman misses three point jump shot",1121,"Missed Three","misses","Reece Beekman",40,37,"Cavs","vsFLA",69
2,"18:26","Riley Kugel defensive rebound",1106,"Def Rebound","defensive rebound","Riley Kugel",40,37,"Opp","vsFLA",70
2,"18:24","Will Richard misses three point jump shot",1104,"Missed Three","misses","Will Richard",40,37,"Opp","vsFLA",70
2,"18:14","Reece Beekman defensive rebound",1094,"Def Rebound","defensive rebound","Reece Beekman",40,37,"Cavs","vsFLA",71
2,"18:07","Blake Buchanan makes two point dunk (Reece Beekman assists)",1087,"Made Two","makes","Blake Buchanan",42,37,"Opp","vsFLA",72
2,"17:52","Tyrese Samuel turnover (lost ball) (Ryan Dunn steals)",1072,"Turnover","turnover","Tyrese Samuel",42,37,"Cavs","vsFLA",73
2,"17:26","Blake Buchanan makes two point jump shot (Reece Beekman assists)",1046,"Made Two","makes","Blake Buchanan",44,37,"Opp","vsFLA",74
2,"17:16","Riley Kugel turnover (bad pass) (Ryan Dunn steals)",1036,"Turnover","turnover","Riley Kugel",44,37,"Cavs","vsFLA",75
2,"17:14","Ryan Dunn misses three point jump shot",1034,"Missed Three","misses","Ryan Dunn",44,37,"Cavs","vsFLA",75
2,"16:58","Micah Handlogten defensive rebound",1018,"Def Rebound","defensive rebound","Micah Handlogten",44,37,"Opp","vsFLA",76
2,"16:39","Tyrese Samuel makes two point layup (Micah Handlogten assists)",999,"Made Two","makes","Tyrese Samuel",44,39,"Cavs","vsFLA",77
2,"16:37","Isaac McKneely misses two point jump shot",997,"Missed Two","misses","Isaac McKneely",44,39,"Cavs","vsFLA",77
2,"16:28","Micah Handlogten defensive rebound",988,"Def Rebound","defensive rebound","Micah Handlogten",44,39,"Opp","vsFLA",78
2,"16:27","Walter Clayton Jr. misses two point layup",987,"Missed Two","misses","Walter Clayton Jr.",44,39,"Opp","vsFLA",78
2,"16:27","Cavaliers lineup change (Andrew Rohde,Jacob Groves,Blake Buchanan,Isaac McKeenly,Reece Beekman)",987,"Cav Sub"," ","Cavaliers",44,39,"Opp","vsFLA",78
2,"16:15","Gators offensive rebound",975,"Off Rebound","offensive rebound","Gators",44,39,"Opp","vsFLA",78
2,"16:13","Will Richard misses three point jump shot",973,"Missed Three","misses","Will Richard",44,39,"Opp","vsFLA",78
2,"15:56","Blake Buchanan defensive rebound",956,"Def Rebound","defensive rebound","Blake Buchanan",44,39,"Cavs","vsFLA",79
2,"15:37","Jacob Groves makes three point jump shot (Isaac McKneely assists)",937,"Made Three","makes","Jacob Groves",47,39,"Opp","vsFLA",80
2,"15:07","Tyrese Samuel makes two point finger roll layup",907,"Made Two","makes","Tyrese Samuel",47,41,"Cavs","vsFLA",81
2,"14:55","Jacob Groves makes three point jump shot (Andrew Rohde assists)",895,"Made Three","makes","Jacob Groves",50,41,"Opp","vsFLA",82
2,"14:53","Julian Rishwain misses three point jump shot",893,"Missed Three","misses","Julian Rishwain",50,41,"Opp","vsFLA",82
2,"14:43","Isaac McKneely defensive rebound",883,"Def Rebound","defensive rebound","Isaac McKneely",50,41,"Cavs","vsFLA",83
2,"14:43","Micah Handlogten shooting foul (Jacob Groves draws the foul)",883,"Foul","shooting foul","Micah Handlogten",50,41,"Cavs","vsFLA",83
2,"14:43","TV timeout",883,""," ","TV",50,41,"Cavs","vsFLA",83
2,"14:43","Jacob Groves makes regular free throw 1 of 2",883,"Made FT","makes","Jacob Groves",51,41,"Cavs","vsFLA",83
2,"14:42","Cavaliers lineup change (Andrew Rohde,Jacob Groves,Dante Harris,Ryan Dunn,Reece Beekman)",882,"Cav Sub"," ","Cavaliers",51,41,"Cavs","vsFLA",83
2,"14:31","Jacob Groves makes regular free throw 2 of 2",871,"Made FT","makes","Jacob Groves",52,41,"Opp","vsFLA",84
2,"14:07","Micah Handlogten turnover (bad pass) (Ryan Dunn steals)",847,"Turnover","turnover","Micah Handlogten",52,41,"Cavs","vsFLA",85
2,"14:05","Dante Harris misses three point jump shot",845,"Missed Three","misses","Dante Harris",52,41,"Cavs","vsFLA",85
2,"13:48","Julian Rishwain defensive rebound",828,"Def Rebound","defensive rebound","Julian Rishwain",52,41,"Opp","vsFLA",86
2,"13:48","Jacob Groves shooting foul (Will Richard draws the foul)",828,"Foul","shooting foul","Jacob Groves",52,41,"Opp","vsFLA",86
2,"13:48","Will Richard makes regular free throw 1 of 2",828,"Made FT","makes","Will Richard",52,42,"Opp","vsFLA",86
2,"13:30","Will Richard makes regular free throw 2 of 2",810,"Made FT","makes","Will Richard",52,43,"Cavs","vsFLA",87
2,"13:10","Jacob Groves makes two point turnaround hook shot",790,"Made Two","makes","Jacob Groves",54,43,"Opp","vsFLA",88
2,"13:02","Jacob Groves personal foul (Tyrese Samuel draws the foul)",782,"Foul","personal foul","Jacob Groves",54,43,"Opp","vsFLA",88
2,"12:41","Dante Harris personal foul (Denzel Aberdeen draws the foul)",761,"Foul","personal foul","Dante Harris",54,43,"Opp","vsFLA",88
2,"12:12","Riley Kugel makes three point pullup jump shot",732,"Made Three","makes","Riley Kugel",54,46,"Cavs","vsFLA",89
2,"12:10","Dante Harris misses two point jump shot",730,"Missed Two","misses","Dante Harris",54,46,"Cavs","vsFLA",89
2,"12:02","Thomas Haugh defensive rebound",722,"Def Rebound","defensive rebound","Thomas Haugh",54,46,"Opp","vsFLA",90
2,"11:58","Riley Kugel turnover (lost ball) (Jacob Groves steals)",718,"Turnover","turnover","Riley Kugel",54,46,"Cavs","vsFLA",91
2,"11:58","Jacob Groves misses two point dunk",718,"Missed Two","misses","Jacob Groves",54,46,"Cavs","vsFLA",91
2,"11:58","Denzel Aberdeen defensive rebound",718,"Def Rebound","defensive rebound","Denzel Aberdeen",54,46,"Opp","vsFLA",92
2,"11:58","Jacob Groves personal foul (Denzel Aberdeen draws the foul)",718,"Foul","personal foul","Jacob Groves",54,46,"Opp","vsFLA",92
2,"11:58","Cavaliers lineup change (Blake Buchanan,Isaac McKeenly,Dante Harris,Ryan Dunn,Reece Beekman)",718,"Cav Sub"," ","Cavaliers",54,46,"Opp","vsFLA",92
2,"11:45","TV timeout",705,""," ","TV",54,46,"Opp","vsFLA",92
2,"11:08","Riley Kugel makes two point dunk (Thomas Haugh assists)",668,"Made Two","makes","Riley Kugel",54,48,"Cavs","vsFLA",93
2,"11:06","Isaac McKneely misses two point pullup jump shot",666,"Missed Two","misses","Isaac McKneely",54,48,"Cavs","vsFLA",93
2,"10:44","Thomas Haugh defensive rebound",644,"Def Rebound","defensive rebound","Thomas Haugh",54,48,"Opp","vsFLA",94
2,"10:43","Tyrese Samuel misses two point hook shot",643,"Missed Two","misses","Tyrese Samuel",54,48,"Opp","vsFLA",94
2,"10:43","Thomas Haugh offensive rebound",643,"Off Rebound","offensive rebound","Thomas Haugh",54,48,"Opp","vsFLA",94
2,"10:34","Blake Buchanan personal foul (Thomas Haugh draws the foul)",634,"Foul","personal foul","Blake Buchanan",54,48,"Opp","vsFLA",94
2,"10:33","Reece Beekman blocks Will Richard's two point layup",633,"Block","block","Reece Beekman",54,48,"Opp","vsFLA",94
2,"10:33","Thomas Haugh offensive rebound",633,"Off Rebound","offensive rebound","Thomas Haugh",54,48,"Opp","vsFLA",94
2,"10:31","Thomas Haugh misses two point layup",631,"Missed Two","misses","Thomas Haugh",54,48,"Opp","vsFLA",94
2,"10:31","Reece Beekman defensive rebound",631,"Def Rebound","defensive rebound","Reece Beekman",54,48,"Cavs","vsFLA",95
2,"10:18","Tyrese Samuel personal foul (Reece Beekman draws the foul)",618,"Foul","personal foul","Tyrese Samuel",54,48,"Cavs","vsFLA",95
2,"10:16","Ryan Dunn misses three point jump shot",616,"Missed Three","misses","Ryan Dunn",54,48,"Cavs","vsFLA",95
2,"10:03","Tyrese Samuel defensive rebound",603,"Def Rebound","defensive rebound","Tyrese Samuel",54,48,"Opp","vsFLA",96
2,"10:01","Riley Kugel misses three point jump shot",601,"Missed Three","misses","Riley Kugel",54,48,"Opp","vsFLA",96
2,"9:54","Ryan Dunn defensive rebound",594,"Def Rebound","defensive rebound","Ryan Dunn",54,48,"Cavs","vsFLA",97
2,"9:54","Cavaliers lineup change (Blake Buchanan,Isaac McKeenly,Dante Harris,Ryan Dunn,Andrew Rohde)",594,"Cav Sub"," ","Cavaliers",54,48,"Cavs","vsFLA",97
2,"9:49","Tyrese Samuel personal foul",589,"Foul","personal foul","Tyrese Samuel",54,48,"Cavs","vsFLA",97
2,"9:49","Alex Condon shooting foul (Blake Buchanan draws the foul)",589,"Foul","shooting foul","Alex Condon",54,48,"Cavs","vsFLA",97
2,"9:49","Blake Buchanan misses regular free throw 1 of 2",589,"Missed FT","misses","Blake Buchanan",54,48,"Cavs","vsFLA",97
2,"9:49","Blake Buchanan misses regular free throw 2 of 2",589,"Missed FT","misses","Blake Buchanan",54,48,"Cavs","vsFLA",97
2,"9:35","Micah Handlogten defensive rebound",575,"Def Rebound","defensive rebound","Micah Handlogten",54,48,"Opp","vsFLA",98
2,"9:33","Riley Kugel misses two point layup",573,"Missed Two","misses","Riley Kugel",54,48,"Opp","vsFLA",98
2,"9:31","Alex Condon offensive rebound",571,"Off Rebound","offensive rebound","Alex Condon",54,48,"Opp","vsFLA",98
2,"9:29","Walter Clayton Jr. misses three point jump shot",569,"Missed Three","misses","Walter Clayton Jr.",54,48,"Opp","vsFLA",98
2,"9:17","Cavaliers defensive rebound",557,"Def Rebound","defensive rebound","Cavaliers",54,48,"Cavs","vsFLA",99
2,"9:15","Isaac McKneely misses two point pullup jump shot",555,"Missed Two","misses","Isaac McKneely",54,48,"Cavs","vsFLA",99
2,"9:05","Micah Handlogten defensive rebound",545,"Def Rebound","defensive rebound","Micah Handlogten",54,48,"Opp","vsFLA",100
2,"9:05","Cavaliers lineup change (Blake Buchanan,Isaac McKeenly,Reece Beekman,Jacob Groves,Andrew Rohde)",545,"Cav Sub"," ","Cavaliers",54,48,"Opp","vsFLA",100
2,"8:50","Andrew Rohde personal foul (Riley Kugel draws the foul)",530,"Foul","personal foul","Andrew Rohde",54,48,"Opp","vsFLA",100
2,"8:31","Will Richard makes three point jump shot (Walter Clayton Jr. assists)",511,"Made Three","makes","Will Richard",54,51,"Cavs","vsFLA",101
2,"8:25","Will Richard personal foul (Andrew Rohde draws the foul)",505,"Foul","personal foul","Will Richard",54,51,"Cavs","vsFLA",101
2,"8:20","Blake Buchanan turnover (bad pass) (Micah Handlogten steals)",500,"Turnover","turnover","Blake Buchanan",54,51,"Opp","vsFLA",102
2,"8:20","Riley Kugel makes two point layup",500,"Made Two","makes","Riley Kugel",54,53,"Opp","vsFLA",102
2,"8:20","Blake Buchanan shooting foul (Riley Kugel draws the foul)",500,"Foul","shooting foul","Blake Buchanan",54,53,"Opp","vsFLA",102
2,"8:20","Riley Kugel misses regular free throw 1 of 1",500,"Missed FT","misses","Riley Kugel",54,53,"Opp","vsFLA",102
2,"8:15","Micah Handlogten offensive rebound",495,"Off Rebound","offensive rebound","Micah Handlogten",54,53,"Opp","vsFLA",102
2,"8:00","Micah Handlogten makes two point putback layup",480,"Made Two","makes","Micah Handlogten",54,55,"Cavs","vsFLA",103
2,"7:59","Reece Beekman misses two point layup",479,"Missed Two","misses","Reece Beekman",54,55,"Cavs","vsFLA",103
2,"7:59","Blake Buchanan offensive rebound",479,"Off Rebound","offensive rebound","Blake Buchanan",54,55,"Cavs","vsFLA",103
2,"7:59","Micah Handlogten shooting foul (Blake Buchanan draws the foul)",479,"Foul","shooting foul","Micah Handlogten",54,55,"Cavs","vsFLA",103
2,"7:59","TV timeout",479,""," ","TV",54,55,"Cavs","vsFLA",103
2,"7:59","Blake Buchanan misses regular free throw 1 of 2",479,"Missed FT","misses","Blake Buchanan",54,55,"Cavs","vsFLA",103
2,"7:47","Blake Buchanan makes regular free throw 2 of 2",467,"Made FT","makes","Blake Buchanan",55,55,"Opp","vsFLA",104
2,"7:45","Walter Clayton Jr. misses three point jump shot",465,"Missed Three","misses","Walter Clayton Jr.",55,55,"Opp","vsFLA",104
2,"7:39","Will Richard offensive rebound",459,"Off Rebound","offensive rebound","Will Richard",55,55,"Opp","vsFLA",104
2,"7:39","Jacob Groves personal foul (Will Richard draws the foul)",459,"Foul","personal foul","Jacob Groves",55,55,"Opp","vsFLA",104
2,"7:39","Will Richard makes regular free throw 1 of 2",459,"Made FT","makes","Will Richard",55,56,"Opp","vsFLA",104
2,"7:39","Cavaliers lineup change (Blake Buchanan,Isaac McKeenly,Reece Beekman,Ryan Dunn,Andrew Rohde)",459,"Cav Sub"," ","Cavaliers",55,56,"Opp","vsFLA",104
2,"7:18","Will Richard makes regular free throw 2 of 2",438,"Made FT","makes","Will Richard",55,57,"Cavs","vsFLA",105
2,"7:18","Alex Condon shooting foul (Blake Buchanan draws the foul)",438,"Foul","shooting foul","Alex Condon",55,57,"Cavs","vsFLA",105
2,"7:18","Blake Buchanan makes regular free throw 1 of 2",438,"Made FT","makes","Blake Buchanan",56,57,"Cavs","vsFLA",105
2,"6:58","Blake Buchanan makes regular free throw 2 of 2",418,"Made FT","makes","Blake Buchanan",57,57,"Opp","vsFLA",106
2,"6:56","Riley Kugel misses two point layup",416,"Missed Two","misses","Riley Kugel",57,57,"Opp","vsFLA",106
2,"6:55","Alex Condon offensive rebound",415,"Off Rebound","offensive rebound","Alex Condon",57,57,"Opp","vsFLA",106
2,"6:54","Alex Condon misses two point layup",414,"Missed Two","misses","Alex Condon",57,57,"Opp","vsFLA",106
2,"6:53","Jump ball.  (Isaac McKneely gains possession)",413,"Jump Ball"," ","Jump",57,57,"Opp","vsFLA",106
2,"6:37","Isaac McKneely defensive rebound",397,"Def Rebound","defensive rebound","Isaac McKneely",57,57,"Cavs","vsFLA",107
2,"6:22","Isaac McKneely makes three point jump shot (Reece Beekman assists)",382,"Made Three","makes","Isaac McKneely",60,57,"Opp","vsFLA",108
2,"6:16","Alex Condon turnover (bad pass) (Reece Beekman steals)",376,"Turnover","turnover","Alex Condon",60,57,"Cavs","vsFLA",109
2,"6:16","Micah Handlogten shooting foul (Blake Buchanan draws the foul)",376,"Foul","shooting foul","Micah Handlogten",60,57,"Cavs","vsFLA",109
2,"6:16","Blake Buchanan makes regular free throw 1 of 2",376,"Made FT","makes","Blake Buchanan",61,57,"Cavs","vsFLA",109
2,"5:56","Blake Buchanan makes regular free throw 2 of 2",356,"Made FT","makes","Blake Buchanan",62,57,"Opp","vsFLA",110
2,"5:54","Walter Clayton Jr. misses two point layup",354,"Missed Two","misses","Walter Clayton Jr.",62,57,"Opp","vsFLA",110
2,"5:35","Blake Buchanan defensive rebound",335,"Def Rebound","defensive rebound","Blake Buchanan",62,57,"Cavs","vsFLA",111
2,"5:33","Andrew Rohde misses three point jump shot",333,"Missed Three","misses","Andrew Rohde",62,57,"Cavs","vsFLA",111
2,"5:25","Walter Clayton Jr. defensive rebound",325,"Def Rebound","defensive rebound","Walter Clayton Jr.",62,57,"Opp","vsFLA",112
2,"5:23","Riley Kugel misses three point stepback jump shot",323,"Missed Three","misses","Riley Kugel",62,57,"Opp","vsFLA",112
2,"5:18","Gators offensive rebound",318,"Off Rebound","offensive rebound","Gators",62,57,"Opp","vsFLA",112
2,"5:17","Will Richard misses two point layup",317,"Missed Two","misses","Will Richard",62,57,"Opp","vsFLA",112
2,"5:16","Micah Handlogten offensive rebound",316,"Off Rebound","offensive rebound","Micah Handlogten",62,57,"Opp","vsFLA",112
2,"5:15","Micah Handlogten misses two point layup",315,"Missed Two","misses","Micah Handlogten",62,57,"Opp","vsFLA",112
2,"5:15","Micah Handlogten offensive rebound",315,"Off Rebound","offensive rebound","Micah Handlogten",62,57,"Opp","vsFLA",112
2,"5:15","Micah Handlogten makes two point layup",315,"Made Two","makes","Micah Handlogten",62,59,"Cavs","vsFLA",113
2,"5:15","Gators 30 second timeout",315,"Timeout","second timeout","Gators 30",62,59,"Cavs","vsFLA",113
2,"5:14","Cavaliers lineup change (Jacob Groves,Isaac McKeenly,Reece Beekman,Ryan Dunn,Andrew Rohde)",314,"Cav Sub"," ","Cavaliers",62,59,"Cavs","vsFLA",113
2,"4:47","TV timeout",287,""," ","TV",62,59,"Cavs","vsFLA",113
2,"4:45","Isaac McKneely misses three point jump shot",285,"Missed Three","misses","Isaac McKneely",62,59,"Cavs","vsFLA",113
2,"4:14","Tyrese Samuel defensive rebound",254,"Def Rebound","defensive rebound","Tyrese Samuel",62,59,"Opp","vsFLA",114
2,"4:12","Will Richard misses three point jump shot",252,"Missed Three","misses","Will Richard",62,59,"Opp","vsFLA",114
2,"3:51","Ryan Dunn defensive rebound",231,"Def Rebound","defensive rebound","Ryan Dunn",62,59,"Cavs","vsFLA",115
2,"3:51","Walter Clayton Jr. shooting foul (Reece Beekman draws the foul)",231,"Foul","shooting foul","Walter Clayton Jr.",62,59,"Cavs","vsFLA",115
2,"3:51","TV timeout",231,""," ","TV",62,59,"Cavs","vsFLA",115
2,"3:51","Reece Beekman misses regular free throw 1 of 2",231,"Missed FT","misses","Reece Beekman",62,59,"Cavs","vsFLA",115
2,"3:50","Cavaliers lineup change (Blake Buchanan,Isaac McKeenly,Reece Beekman,Ryan Dunn,Andrew Rohde)",230,"Cav Sub"," ","Cavaliers",62,59,"Cavs","vsFLA",115
2,"3:49","Reece Beekman misses regular free throw 2 of 2",229,"Missed FT","misses","Reece Beekman",62,59,"Cavs","vsFLA",115
2,"3:41","Tyrese Samuel defensive rebound",221,"Def Rebound","defensive rebound","Tyrese Samuel",62,59,"Opp","vsFLA",116
2,"3:41","Isaac McKneely personal foul (Riley Kugel draws the foul)",221,"Foul","personal foul","Isaac McKneely",62,59,"Opp","vsFLA",116
2,"3:41","Riley Kugel makes regular free throw 1 of 2",221,"Made FT","makes","Riley Kugel",62,60,"Opp","vsFLA",116
2,"3:41","Riley Kugel misses regular free throw 2 of 2",221,"Missed FT","misses","Riley Kugel",62,60,"Opp","vsFLA",116
2,"3:29","Micah Handlogten offensive rebound",209,"Off Rebound","offensive rebound","Micah Handlogten",62,60,"Opp","vsFLA",116
2,"3:13","Riley Kugel makes two point layup (Tyrese Samuel assists)",193,"Made Two","makes","Riley Kugel",62,62,"Cavs","vsFLA",117
2,"2:59","Isaac McKneely makes two point jump shot (Reece Beekman assists)",179,"Made Two","makes","Isaac McKneely",64,62,"Opp","vsFLA",118
2,"2:57","Isaac McKneely blocks Riley Kugel's two point layup",177,"Block","block","Isaac McKneely",64,62,"Opp","vsFLA",118
2,"2:44","Isaac McKneely defensive rebound",164,"Def Rebound","defensive rebound","Isaac McKneely",64,62,"Cavs","vsFLA",119
2,"2:44","Micah Handlogten personal foul (Blake Buchanan draws the foul)",164,"Foul","personal foul","Micah Handlogten",64,62,"Cavs","vsFLA",119
2,"2:44","Blake Buchanan makes regular free throw 1 of 2",164,"Made FT","makes","Blake Buchanan",65,62,"Cavs","vsFLA",119
2,"2:44","Blake Buchanan misses regular free throw 2 of 2",164,"Missed FT","misses","Blake Buchanan",65,62,"Cavs","vsFLA",119
2,"2:35","Riley Kugel defensive rebound",155,"Def Rebound","defensive rebound","Riley Kugel",65,62,"Opp","vsFLA",120
2,"2:35","Reece Beekman personal foul (Walter Clayton Jr. draws the foul)",155,"Foul","personal foul","Reece Beekman",65,62,"Opp","vsFLA",120
2,"2:35","Walter Clayton Jr. makes regular free throw 1 of 2",155,"Made FT","makes","Walter Clayton Jr.",65,63,"Opp","vsFLA",120
2,"2:35","Walter Clayton Jr. makes regular free throw 2 of 2",155,"Made FT","makes","Walter Clayton Jr.",65,64,"Cavs","vsFLA",121
2,"2:17","Gators 30 second timeout",137,"Timeout","second timeout","Gators 30",65,64,"Cavs","vsFLA",121
2,"2:15","Isaac McKneely misses three point jump shot",135,"Missed Three","misses","Isaac McKneely",65,64,"Cavs","vsFLA",121
2,"2:13","Walter Clayton Jr. defensive rebound",133,"Def Rebound","defensive rebound","Walter Clayton Jr.",65,64,"Opp","vsFLA",122
2,"2:13","Isaac McKneely personal foul",133,"Foul","personal foul","Isaac McKneely",65,64,"Opp","vsFLA",122
2,"2:13","Thomas Haugh makes regular free throw 1 of 2",133,"Made FT","makes","Thomas Haugh",65,65,"Opp","vsFLA",122
2,"2:11","Thomas Haugh misses regular free throw 2 of 2",131,"Missed FT","misses","Thomas Haugh",65,65,"Opp","vsFLA",122
2,"1:58","Ryan Dunn defensive rebound",118,"Def Rebound","defensive rebound","Ryan Dunn",65,65,"Cavs","vsFLA",123
2,"1:48","Reece Beekman makes two point layup",108,"Made Two","makes","Reece Beekman",67,65,"Opp","vsFLA",124
2,"1:32","Riley Kugel makes two point layup (Walter Clayton Jr. assists)",92,"Made Two","makes","Riley Kugel",67,67,"Cavs","vsFLA",125
