"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"6:08","Ryan Dunn defensive rebound",368,"Def Rebound","defensive rebound","Ryan Dunn",31,13,"Cavs","vsNCCU",46
1,"6:06","Andrew Rohde misses three point jump shot",366,"Missed Three","misses","Andrew Rohde",31,13,"Cavs","vsNCCU",46
1,"6:05","Ryan Dunn offensive rebound",365,"Off Rebound","offensive rebound","Ryan Dunn",31,13,"Cavs","vsNCCU",46
1,"5:53","Perry Smith Jr. personal foul (Ryan Dunn draws the foul)",353,"Foul","personal foul","Perry Smith Jr.",31,13,"Cavs","vsNCCU",46
1,"5:51","Reece Beekman misses two point jump shot",351,"Missed Two","misses","Reece Beekman",31,13,"Cavs","vsNCCU",46
1,"5:34","Po'Boigh King defensive rebound",334,"Def Rebound","defensive rebound","Po'Boigh King",31,13,"Opp","vsNCCU",47
1,"5:27","Guy Fauntleroy turnover (lost ball) (Reece Beekman steals)",327,"Turnover","turnover","Guy Fauntleroy",31,13,"Cavs","vsNCCU",48
1,"5:01","Ryan Dunn makes two point dunk (Isaac McKneely assists)",301,"Made Two","makes","Ryan Dunn",33,13,"Opp","vsNCCU",49
1,"5:01","Jacob Groves shooting foul (Keishon Porter draws the foul)",301,"Foul","shooting foul","Jacob Groves",33,13,"Opp","vsNCCU",49
1,"5:01","Keishon Porter makes regular free throw 1 of 2",301,"Made FT","makes","Keishon Porter",33,14,"Opp","vsNCCU",49
1,"4:46","Keishon Porter makes regular free throw 2 of 2",286,"Made FT","makes","Keishon Porter",33,15,"Cavs","vsNCCU",50
1,"4:41","Jordan Minor turnover (bad pass) (Po'Boigh King steals)",281,"Turnover","turnover","Jordan Minor",33,15,"Opp","vsNCCU",51
1,"4:16","Po'Boigh King makes two point dunk",256,"Made Two","makes","Po'Boigh King",33,17,"Cavs","vsNCCU",52
1,"3:45","Ryan Dunn makes two point layup (Jacob Groves assists)",225,"Made Two","makes","Ryan Dunn",35,17,"Opp","vsNCCU",53
1,"3:43","Josh Smith misses two point layup",223,"Missed Two","misses","Josh Smith",35,17,"Opp","vsNCCU",53
1,"3:40","Ryan Dunn defensive rebound",220,"Def Rebound","defensive rebound","Ryan Dunn",35,17,"Cavs","vsNCCU",54
1,"3:15","TV timeout",195,""," ","TV",35,17,"Cavs","vsNCCU",54
1,"2:39","Leon Bond III makes three point jump shot (Jordan Minor assists)",159,"Made Three","makes","Leon Bond III",38,17,"Opp","vsNCCU",55
1,"2:37","Po'Boigh King misses two point jump shot",157,"Missed Two","misses","Po'Boigh King",38,17,"Opp","vsNCCU",55
1,"2:18","Jordan Minor defensive rebound",138,"Def Rebound","defensive rebound","Jordan Minor",38,17,"Cavs","vsNCCU",56
1,"2:16","Jordan Minor misses two point layup",136,"Missed Two","misses","Jordan Minor",38,17,"Cavs","vsNCCU",56
1,"2:12","Perry Smith Jr. defensive rebound",132,"Def Rebound","defensive rebound","Perry Smith Jr.",38,17,"Opp","vsNCCU",57
1,"1:51","Ryan Dunn blocks Keishon Porter's two point layup",111,"Block","block","Ryan Dunn",38,17,"Opp","vsNCCU",57
1,"1:51","Cavaliers defensive rebound",111,"Def Rebound","defensive rebound","Cavaliers",38,17,"Cavs","vsNCCU",58
1,"1:28","Elijah Gertrude makes three point jump shot (Leon Bond III assists)",88,"Made Three","makes","Elijah Gertrude",41,17,"Opp","vsNCCU",59
1,"1:28","Official timeout",88,""," ","Official",41,17,"Opp","vsNCCU",59
1,"1:14","Elijah Gertrude personal foul (Po'Boigh King draws the foul)",74,"Foul","personal foul","Elijah Gertrude",41,17,"Opp","vsNCCU",59
1,"1:12","Cobey Harraway misses two point jump shot",72,"Missed Two","misses","Cobey Harraway",41,17,"Opp","vsNCCU",59
1,"1:01","Leon Bond III defensive rebound",61,"Def Rebound","defensive rebound","Leon Bond III",41,17,"Cavs","vsNCCU",60
1,"0:40","Keishon Porter personal foul (Ryan Dunn draws the foul)",40,"Foul","personal foul","Keishon Porter",41,17,"Cavs","vsNCCU",60
1,"0:38","Blake Buchanan misses two point jump shot",38,"Missed Two","misses","Blake Buchanan",41,17,"Cavs","vsNCCU",60
1,"0:33","Cobey Harraway defensive rebound",33,"Def Rebound","defensive rebound","Cobey Harraway",41,17,"Opp","vsNCCU",61
1,"0:31","Po'Boigh King misses three point jump shot",31,"Missed Three","misses","Po'Boigh King",41,17,"Opp","vsNCCU",61
1,"0:06","Ryan Dunn defensive rebound",6,"Def Rebound","defensive rebound","Ryan Dunn",41,17,"Cavs","vsNCCU",62
1,"0:04","Leon Bond III misses two point jump shot",4,"Missed Two","misses","Leon Bond III",41,17,"Cavs","vsNCCU",62
2,"20:00","2ND HALF",1200,""," ","2ND",41,17,"Cavs","vsNCCU",62
2,"19:44","Open inbound Cavaliers",1184,""," ","Open",41,17,"Cavs","vsNCCU",62
2,"19:42","Isaac McKneely misses two point jump shot",1182,"Missed Two","misses","Isaac McKneely",41,17,"Cavs","vsNCCU",62
2,"19:28","Keishon Porter defensive rebound",1168,"Def Rebound","defensive rebound","Keishon Porter",41,17,"Opp","vsNCCU",63
2,"19:26","Cobey Harraway misses three point jump shot",1166,"Missed Three","misses","Cobey Harraway",41,17,"Opp","vsNCCU",63
2,"19:22","Josh Smith offensive rebound",1162,"Off Rebound","offensive rebound","Josh Smith",41,17,"Opp","vsNCCU",63
2,"19:20","Josh Smith misses two point jump shot",1160,"Missed Two","misses","Josh Smith",41,17,"Opp","vsNCCU",63
2,"19:18","Cobey Harraway offensive rebound",1158,"Off Rebound","offensive rebound","Cobey Harraway",41,17,"Opp","vsNCCU",63
2,"19:18","Ryan Dunn shooting foul (Cobey Harraway draws the foul)",1158,"Foul","shooting foul","Ryan Dunn",41,17,"Opp","vsNCCU",63
2,"19:18","Cobey Harraway makes regular free throw 1 of 2",1158,"Made FT","makes","Cobey Harraway",41,18,"Opp","vsNCCU",63
2,"19:18","Cobey Harraway misses regular free throw 2 of 2",1158,"Missed FT","misses","Cobey Harraway",41,18,"Opp","vsNCCU",63
2,"19:06","Jacob Groves defensive rebound",1146,"Def Rebound","defensive rebound","Jacob Groves",41,18,"Cavs","vsNCCU",64
2,"18:51","Reece Beekman makes two point layup",1131,"Made Two","makes","Reece Beekman",43,18,"Opp","vsNCCU",65
2,"18:46","Jacob Groves personal foul",1126,"Foul","personal foul","Jacob Groves",43,18,"Opp","vsNCCU",65
2,"18:40","Josh Smith turnover (lost ball) (Reece Beekman steals)",1120,"Turnover","turnover","Josh Smith",43,18,"Cavs","vsNCCU",66
2,"18:14","Ryan Dunn makes two point dunk (Reece Beekman assists)",1094,"Made Two","makes","Ryan Dunn",45,18,"Opp","vsNCCU",67
2,"18:12","Po'Boigh King misses two point jump shot",1092,"Missed Two","misses","Po'Boigh King",45,18,"Opp","vsNCCU",67
2,"18:03","Ryan Dunn defensive rebound",1083,"Def Rebound","defensive rebound","Ryan Dunn",45,18,"Cavs","vsNCCU",68
2,"17:50","Official timeout",1070,""," ","Official",45,18,"Cavs","vsNCCU",68
2,"17:45","Andrew Rohde turnover (bad pass) (Po'Boigh King steals)",1065,"Turnover","turnover","Andrew Rohde",45,18,"Opp","vsNCCU",69
2,"17:43","Isaac McKneely blocks Po'Boigh King's two point layup",1063,"Block","block","Isaac McKneely",45,18,"Opp","vsNCCU",69
2,"17:35","Reece Beekman defensive rebound",1055,"Def Rebound","defensive rebound","Reece Beekman",45,18,"Cavs","vsNCCU",70
2,"17:18","Jacob Groves makes two point layup (Reece Beekman assists)",1038,"Made Two","makes","Jacob Groves",47,18,"Opp","vsNCCU",71
2,"17:16","Po'Boigh King misses three point jump shot",1036,"Missed Three","misses","Po'Boigh King",47,18,"Opp","vsNCCU",71
2,"17:06","Ryan Dunn defensive rebound",1026,"Def Rebound","defensive rebound","Ryan Dunn",47,18,"Cavs","vsNCCU",72
2,"16:34","Isaac McKneely makes three point jump shot (Reece Beekman assists)",994,"Made Three","makes","Isaac McKneely",50,18,"Opp","vsNCCU",73
2,"16:11","Perry Smith Jr. makes two point layup (Guy Fauntleroy assists)",971,"Made Two","makes","Perry Smith Jr.",50,20,"Cavs","vsNCCU",74
2,"16:09","Andrew Rohde misses three point jump shot",969,"Missed Three","misses","Andrew Rohde",50,20,"Cavs","vsNCCU",74
2,"15:48","Cobey Harraway defensive rebound",948,"Def Rebound","defensive rebound","Cobey Harraway",50,20,"Opp","vsNCCU",75
2,"15:46","Keishon Porter misses three point jump shot",946,"Missed Three","misses","Keishon Porter",50,20,"Opp","vsNCCU",75
2,"15:45","Cavaliers defensive rebound",945,"Def Rebound","defensive rebound","Cavaliers",50,20,"Cavs","vsNCCU",76
2,"15:19","TV timeout",919,""," ","TV",50,20,"Cavs","vsNCCU",76
2,"15:19","Guy Fauntleroy shooting foul (Reece Beekman draws the foul)",919,"Foul","shooting foul","Guy Fauntleroy",50,20,"Cavs","vsNCCU",76
2,"15:19","Reece Beekman makes regular free throw 1 of 2",919,"Made FT","makes","Reece Beekman",51,20,"Cavs","vsNCCU",76
2,"15:03","Reece Beekman makes regular free throw 2 of 2",903,"Made FT","makes","Reece Beekman",52,20,"Opp","vsNCCU",77
2,"14:42","Perry Smith Jr. makes two point layup",882,"Made Two","makes","Perry Smith Jr.",52,22,"Cavs","vsNCCU",78
2,"14:22","Elijah Gertrude makes two point layup",862,"Made Two","makes","Elijah Gertrude",54,22,"Opp","vsNCCU",79
2,"14:20","Guy Fauntleroy misses three point jump shot",860,"Missed Three","misses","Guy Fauntleroy",54,22,"Opp","vsNCCU",79
2,"14:16","Perry Smith Jr. offensive rebound",856,"Off Rebound","offensive rebound","Perry Smith Jr.",54,22,"Opp","vsNCCU",79
2,"14:00","Perry Smith Jr. makes two point layup",840,"Made Two","makes","Perry Smith Jr.",54,24,"Cavs","vsNCCU",80
2,"13:58","Reece Beekman misses three point jump shot",838,"Missed Three","misses","Reece Beekman",54,24,"Cavs","vsNCCU",80
2,"13:57","Po'Boigh King defensive rebound",837,"Def Rebound","defensive rebound","Po'Boigh King",54,24,"Opp","vsNCCU",81
2,"13:42","Blake Buchanan personal foul (Po'Boigh King draws the foul)",822,"Foul","personal foul","Blake Buchanan",54,24,"Opp","vsNCCU",81
2,"13:37","Po'Boigh King turnover (lost ball) (Reece Beekman steals)",817,"Turnover","turnover","Po'Boigh King",54,24,"Cavs","vsNCCU",82
2,"13:35","Keishon Porter blocks Reece Beekman's two point layup",815,"Block","block","Keishon Porter",54,24,"Cavs","vsNCCU",82
2,"13:29","Leon Bond III offensive rebound",809,"Off Rebound","offensive rebound","Leon Bond III",54,24,"Cavs","vsNCCU",82
2,"13:08","Leon Bond III makes two point layup",788,"Made Two","makes","Leon Bond III",56,24,"Opp","vsNCCU",83
2,"13:08","Keishon Porter makes two point jump shot",788,"Made Two","makes","Keishon Porter",56,26,"Opp","vsNCCU",83
2,"13:08","Elijah Gertrude shooting foul (Keishon Porter draws the foul)",788,"Foul","shooting foul","Elijah Gertrude",56,26,"Opp","vsNCCU",83
2,"12:47","Keishon Porter makes regular free throw 1 of 1",767,"Made FT","makes","Keishon Porter",56,27,"Cavs","vsNCCU",84
2,"12:45","Elijah Gertrude misses three point jump shot",765,"Missed Three","misses","Elijah Gertrude",56,27,"Cavs","vsNCCU",84
2,"12:45","Blake Buchanan offensive rebound",765,"Off Rebound","offensive rebound","Blake Buchanan",56,27,"Cavs","vsNCCU",84
2,"12:44","Perry Smith Jr. personal foul (Blake Buchanan draws the foul)",764,"Foul","personal foul","Perry Smith Jr.",56,27,"Cavs","vsNCCU",84
2,"12:42","Keishon Porter personal foul (Leon Bond III draws the foul)",762,"Foul","personal foul","Keishon Porter",56,27,"Cavs","vsNCCU",84
2,"12:17","Isaac McKneely makes two point jump shot (Elijah Gertrude assists)",737,"Made Two","makes","Isaac McKneely",58,27,"Opp","vsNCCU",85
2,"12:15","Josh Smith misses two point jump shot",735,"Missed Two","misses","Josh Smith",58,27,"Opp","vsNCCU",85
2,"12:15","Keishon Porter offensive rebound",735,"Off Rebound","offensive rebound","Keishon Porter",58,27,"Opp","vsNCCU",85
2,"12:12","Leon Bond III personal foul (Keishon Porter draws the foul)",732,"Foul","personal foul","Leon Bond III",58,27,"Opp","vsNCCU",85
2,"12:12","Josh Smith makes two point layup (Po'Boigh King assists)",732,"Made Two","makes","Josh Smith",58,29,"Opp","vsNCCU",85
2,"12:12","Taine Murray shooting foul (Josh Smith draws the foul)",732,"Foul","shooting foul","Taine Murray",58,29,"Opp","vsNCCU",85
2,"12:06","Josh Smith makes regular free throw 1 of 1",726,"Made FT","makes","Josh Smith",58,30,"Cavs","vsNCCU",86
2,"11:49","Josh Smith personal foul (Isaac McKneely draws the foul)",709,"Foul","personal foul","Josh Smith",58,30,"Cavs","vsNCCU",86
2,"11:29","Leon Bond III makes two point jump shot",689,"Made Two","makes","Leon Bond III",60,30,"Opp","vsNCCU",87
2,"11:27","Po'Boigh King misses two point jump shot",687,"Missed Two","misses","Po'Boigh King",60,30,"Opp","vsNCCU",87
2,"11:22","Taine Murray defensive rebound",682,"Def Rebound","defensive rebound","Taine Murray",60,30,"Cavs","vsNCCU",88
2,"10:48","Isaac McKneely makes three point jump shot (Leon Bond III assists)",648,"Made Three","makes","Isaac McKneely",63,30,"Opp","vsNCCU",89
2,"10:46","Josh Smith misses two point layup",646,"Missed Two","misses","Josh Smith",63,30,"Opp","vsNCCU",89
2,"10:36","Leon Bond III defensive rebound",636,"Def Rebound","defensive rebound","Leon Bond III",63,30,"Cavs","vsNCCU",90
2,"10:28","Blake Buchanan makes two point hook shot (Andrew Rohde assists)",628,"Made Two","makes","Blake Buchanan",65,30,"Opp","vsNCCU",91
2,"10:28","Eagles 30 second timeout",628,"Timeout","second timeout","Eagles 30",65,30,"Opp","vsNCCU",91
2,"10:09","TV timeout",609,""," ","TV",65,30,"Opp","vsNCCU",91
2,"10:07","Guy Fauntleroy misses two point jump shot",607,"Missed Two","misses","Guy Fauntleroy",65,30,"Opp","vsNCCU",91
2,"10:01","Keishon Porter offensive rebound",601,"Off Rebound","offensive rebound","Keishon Porter",65,30,"Opp","vsNCCU",91
2,"9:59","Blake Buchanan blocks Keishon Porter's two point layup",599,"Block","block","Blake Buchanan",65,30,"Opp","vsNCCU",91
2,"9:46","Leon Bond III defensive rebound",586,"Def Rebound","defensive rebound","Leon Bond III",65,30,"Cavs","vsNCCU",92
2,"9:22","Blake Buchanan makes two point layup (Andrew Rohde assists)",562,"Made Two","makes","Blake Buchanan",67,30,"Opp","vsNCCU",93
2,"9:20","Po'Boigh King misses two point layup",560,"Missed Two","misses","Po'Boigh King",67,30,"Opp","vsNCCU",93
2,"9:16","Po'Boigh King offensive rebound",556,"Off Rebound","offensive rebound","Po'Boigh King",67,30,"Opp","vsNCCU",93
2,"8:54","Po'Boigh King makes two point layup",534,"Made Two","makes","Po'Boigh King",67,32,"Cavs","vsNCCU",94
2,"8:52","Andrew Rohde misses two point jump shot",532,"Missed Two","misses","Andrew Rohde",67,32,"Cavs","vsNCCU",94
2,"8:51","Josh Smith defensive rebound",531,"Def Rebound","defensive rebound","Josh Smith",67,32,"Opp","vsNCCU",95
2,"8:51","Ryan Dunn personal foul (Josh Smith draws the foul)",531,"Foul","personal foul","Ryan Dunn",67,32,"Opp","vsNCCU",95
2,"8:51","TV timeout",531,""," ","TV",67,32,"Opp","vsNCCU",95
2,"8:51","Josh Smith makes regular free throw 1 of 2",531,"Made FT","makes","Josh Smith",67,33,"Opp","vsNCCU",95
2,"8:51","Josh Smith misses regular free throw 2 of 2",531,"Missed FT","misses","Josh Smith",67,33,"Opp","vsNCCU",95
2,"8:21","Leon Bond III defensive rebound",501,"Def Rebound","defensive rebound","Leon Bond III",67,33,"Cavs","vsNCCU",96
2,"8:19","Elijah Gertrude misses two point jump shot",499,"Missed Two","misses","Elijah Gertrude",67,33,"Cavs","vsNCCU",96
2,"8:18","Blake Buchanan offensive rebound",498,"Off Rebound","offensive rebound","Blake Buchanan",67,33,"Cavs","vsNCCU",96
2,"8:16","Perry Smith Jr. blocks Blake Buchanan's two point layup",496,"Block","block","Perry Smith Jr.",67,33,"Cavs","vsNCCU",96
2,"8:10","Cavaliers offensive rebound",490,"Off Rebound","offensive rebound","Cavaliers",67,33,"Cavs","vsNCCU",96
2,"7:49","Elijah Gertrude makes two point jump shot",469,"Made Two","makes","Elijah Gertrude",69,33,"Opp","vsNCCU",97
2,"7:47","Keishon Porter misses two point jump shot",467,"Missed Two","misses","Keishon Porter",69,33,"Opp","vsNCCU",97
2,"7:30","Leon Bond III defensive rebound",450,"Def Rebound","defensive rebound","Leon Bond III",69,33,"Cavs","vsNCCU",98
2,"7:28","Leon Bond III misses two point jump shot",448,"Missed Two","misses","Leon Bond III",69,33,"Cavs","vsNCCU",98
2,"7:20","Josh Smith defensive rebound",440,"Def Rebound","defensive rebound","Josh Smith",69,33,"Opp","vsNCCU",99
2,"7:20","Leon Bond III personal foul (Josh Smith draws the foul)",440,"Foul","personal foul","Leon Bond III",69,33,"Opp","vsNCCU",99
2,"7:20","TV timeout",440,""," ","TV",69,33,"Opp","vsNCCU",99
2,"7:20","Josh Smith misses regular free throw 1 of 2",440,"Missed FT","misses","Josh Smith",69,33,"Opp","vsNCCU",99
2,"7:00","Josh Smith makes regular free throw 2 of 2",420,"Made FT","makes","Josh Smith",69,34,"Cavs","vsNCCU",100
