"Lineup","On_court_time","Possessions","Pt_diff_perposs","Pt_diff_permin","poss_permin","efficiency","def_eff","Pts","Pts_against","Tnovers","FG_made","FG_att","Three_made","Three_att","Rebounds","Defensive_plays","Minutes"
"Andrew Rohde,Jacob Groves,Leon Bond III,Reece Beekman,Ryan Dunn",106,4,-1,-0.0377358490566038,2.26415094339623,0.566037735849057,0,2,6,0,1,2,0,0,0,0,1.77
"Andrew Rohde,Jacob Groves,Leon Bond III,Reece Beekman,Taine Murray",295,16,0.1875,0.0101694915254237,3.25423728813559,2.84745762711864,0.25,10,7,0,5,8,0,1,5,2,4.92
"Andrew Rohde,Jacob Groves,Reece Beekman,Ryan Dunn,Taine Murray",700,35,0.571428571428571,0.0285714285714286,3,3.51428571428571,0.571428571428571,27,7,0,9,16,2,4,11,10,11.67
"Andrew Rohde,Jordan Minor,Leon Bond III,Reece Beekman,Taine Murray",84,5,0.4,0.0238095238095238,3.57142857142857,2.85714285714286,0,2,0,0,1,3,0,2,4,0,1.4
"Blake Buchanan,Dante Harris,Isaac McKneely,Jacob Groves,Leon Bond III",90,7,0.571428571428571,0.0444444444444444,4.66666666666667,5.33333333333333,0.285714285714286,7,3,0,3,4,1,1,1,1,1.5
"Blake Buchanan,Dante Harris,Isaac McKneely,Leon Bond III,Reece Beekman",130,5,-0.2,-0.00769230769230769,2.30769230769231,2.30769230769231,0.4,2,3,0,1,2,0,0,3,1,2.17
"Blake Buchanan,Dante Harris,Isaac McKneely,Reece Beekman,Ryan Dunn",350,16,-0.25,-0.0114285714285714,2.74285714285714,0.857142857142857,0.375,4,8,1,1,5,0,2,3,3,5.83
"Blake Buchanan,Dante Harris,Jordan Minor,Leon Bond III,Taine Murray",162,7,0.142857142857143,0.00617283950617284,2.59259259259259,1.48148148148148,0.285714285714286,2,1,1,1,3,0,0,4,1,2.7
"Blake Buchanan,Dante Harris,Jordan Minor,Ryan Dunn,Taine Murray",66,5,-0.2,-0.0151515151515152,4.54545454545454,5.45454545454545,0.4,3,4,0,0,0,0,0,2,1,1.1
"Blake Buchanan,Dante Harris,Jordan Minor,Taine Murray,Tristan How",136,10,0.5,0.0367647058823529,4.41176470588235,3.97058823529412,0.2,6,1,0,1,3,0,0,4,1,2.27
"Blake Buchanan,Dante Harris,Leon Bond III,Reece Beekman,Ryan Dunn",50,1,0,0,1.2,2.4,2,0,0,0,0,0,0,0,1,1,0.83
"Blake Buchanan,Dante Harris,Leon Bond III,Reece Beekman,Taine Murray",182,10,0.2,0.010989010989011,3.2967032967033,2.30769230769231,0.6,5,3,1,2,4,0,0,2,3,3.03
"Blake Buchanan,Dante Harris,Reece Beekman,Ryan Dunn,Taine Murray",211,8,0.125,0.004739336492891,2.27488151658768,1.4218009478673,0.5,3,2,2,1,2,0,0,3,2,3.52
"Blake Buchanan,Elijah Gertrude,Isaac McKneely,Leon Bond III,Reece Beekman",31,1,0,0,1.93548387096774,-1.93548387096774,0,0,0,0,0,1,0,0,0,0,0.52
"Blake Buchanan,Elijah Gertrude,Isaac McKneely,Reece Beekman,Ryan Dunn",186,9,-0.444444444444444,-0.021505376344086,2.90322580645161,0.32258064516129,0.222222222222222,2,6,3,1,2,0,1,2,1,3.1
"Bryce Walker,Jacob Groves,Jordan Minor,Leon Bond III,Taine Murray",45,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.75
"Bryce Walker,Jordan Minor,Leon Bond III,Taine Murray,Tristan How",313,19,-0.105263157894737,-0.00638977635782748,3.64217252396166,2.68370607028754,0.315789473684211,10,12,0,3,8,1,3,6,3,5.22
"Dante Harris,Isaac McKneely,Jacob Groves,Jordan Minor,Leon Bond III",44,1,-1,-0.0227272727272727,1.36363636363636,0,0,0,1,0,0,0,0,0,0,0,0.73
"Dante Harris,Isaac McKneely,Jacob Groves,Jordan Minor,Reece Beekman",83,5,-0.4,-0.0240963855421687,3.6144578313253,0,0.4,0,2,1,0,1,0,0,1,1,1.38
