"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls","Minutes","Pt_dif","adjusted_plusminus","Reb_Rate"
"Without Dante Harris",14534,775,3.19939452318701,NA,0.126451612903226,0.404568597770744,0.312258064516129,428,330,44,158,322,51,130,203,76,143,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.23,98,NA,0.097062246970796
"Without Desmond Roberts",21577,1130,3.14223478704176,NA,0.101769911504425,0.319784956203365,0.323893805309734,603,488,75,221,454,66,167,301,114,206,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.62,115,NA,0.0969404186795491
"Without Elijah Gertrude",20096,1049,3.13196656050955,NA,0.106768350810296,0.334394904458599,0.320305052430887,567,455,60,209,423,60,155,278,106,195,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.93,112,NA,0.0961331069587305
"Without Isaac McKneely",8298,440,3.18148951554591,NA,0.0659090909090909,0.209689081706435,0.359090909090909,230,201,33,80,172,20,55,127,52,77,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3,29,NA,0.106356435343829
"Without Jacob Groves",10460,567,3.25239005736138,NA,0.0476190476190476,0.154875717017208,0.335097001763668,274,247,48,94,211,29,76,159,69,102,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.33,27,NA,0.105634851554509
"Without Jordan Minor",18789,970,3.09755708127096,NA,0.117525773195876,0.364042790994731,0.325773195876289,535,421,57,200,399,64,155,246,96,180,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.15,114,NA,0.0909839784456061
"Without Leon Bond III",14407,766,3.19011591587423,NA,0.134464751958225,0.428958145346012,0.339425587467363,419,316,45,152,303,49,117,192,75,138,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.12,103,NA,0.0926094118802113
"Without Reece Beekman",4880,254,3.12295081967213,NA,0.114173228346457,0.35655737704918,0.322834645669291,132,103,24,48,97,11,25,78,26,43,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.33,29,NA,0.111077491296567
"Without Ryan Dunn",6375,328,3.08705882352941,NA,0.0365853658536585,0.112941176470588,0.280487804878049,166,154,31,59,129,17,39,101,33,52,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.25,12,NA,0.110096792649427
"Without Taine Murray",16625,873,3.15067669172932,NA,0.0744558991981672,0.234586466165414,0.3184421534937,461,396,54,170,349,57,139,211,85,166,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.08,65,NA,0.088198156668101
"Without Tristan How",21045,1096,3.12473271560941,NA,0.109489051094891,0.342124019957235,0.326642335766423,584,464,75,216,442,65,164,290,111,200,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.75,120,NA,0.0957596500712185
