"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
2,"2:47","Evan Joyner offensive rebound",167,"Off Rebound","offensive rebound","Evan Joyner",76,44,"Opp","vsNCAT",118
2,"2:25","Cavaliers lineup change (Bryce Walker,Jordan Minor,Leon Bond III,Taine Murray,Tristan How)",145,"Cav Sub"," ","Cavaliers",76,44,"Opp","vsNCAT",118
2,"2:24","Landon Glasper turnover (bad pass)",144,"Turnover","turnover","Landon Glasper",76,44,"Cavs","vsNCAT",119
2,"2:24","Evan Joyner shooting foul (Taine Murray draws the foul)",144,"Foul","shooting foul","Evan Joyner",76,44,"Cavs","vsNCAT",119
2,"2:24","Taine Murray makes regular free throw 1 of 2",144,"Made FT","makes","Taine Murray",77,44,"Cavs","vsNCAT",119
2,"2:16","Taine Murray makes regular free throw 2 of 2",136,"Made FT","makes","Taine Murray",78,44,"Opp","vsNCAT",120
2,"1:56","Uchenna Kellman-Nicholes makes three point jump shot (Camian Shell assists)",116,"Made Three","makes","Uchenna Kellman-Nicholes",78,47,"Cavs","vsNCAT",121
2,"1:54","Jordan Minor misses two point hook shot",114,"Missed Two","misses","Jordan Minor",78,47,"Cavs","vsNCAT",121
2,"1:47","Nikolaos Chitikoudis defensive rebound",107,"Def Rebound","defensive rebound","Nikolaos Chitikoudis",78,47,"Opp","vsNCAT",122
2,"1:45","Uchenna Kellman-Nicholes misses three point jump shot",105,"Missed Three","misses","Uchenna Kellman-Nicholes",78,47,"Opp","vsNCAT",122
2,"1:35","Evan Joyner offensive rebound",95,"Off Rebound","offensive rebound","Evan Joyner",78,47,"Opp","vsNCAT",122
2,"1:24","Evan Joyner makes two point layup",84,"Made Two","makes","Evan Joyner",78,49,"Cavs","vsNCAT",123
2,"1:09","Leon Bond III makes two point jump shot (Taine Murray assists)",69,"Made Two","makes","Leon Bond III",80,49,"Opp","vsNCAT",124
2,"0:46","Tristan How personal foul (Evan Joyner draws the foul)",46,"Foul","personal foul","Tristan How",80,49,"Opp","vsNCAT",124
2,"0:25","Aggies turnover (shot clock violation)",25,"Turnover","turnover","Aggies",80,49,"Cavs","vsNCAT",125
2,"0:23","Bryce Walker misses three point jump shot",23,"Missed Three","misses","Bryce Walker",80,49,"Cavs","vsNCAT",125
2,"0:14","Aggies defensive rebound",14,"Def Rebound","defensive rebound","Aggies",80,49,"Opp","vsNCAT",126
2,"0:14","Jordan Minor shooting foul (Kyle Duke draws the foul)",14,"Foul","shooting foul","Jordan Minor",80,49,"Opp","vsNCAT",126
2,"0:14","Kyle Duke makes regular free throw 1 of 2",14,"Made FT","makes","Kyle Duke",80,50,"Opp","vsNCAT",126
2,"0:00","Aggies offensive rebound",0,"Off Rebound","offensive rebound","Aggies",80,50,"Opp","vsNCAT",126
2,"0:00","Leon Bond III blocks Landon Glasper's two point jump shot",0,"Block","block","Leon Bond III",80,50,"Opp","vsNCAT",126
2,"0:00","Cavaliers defensive rebound",0,"Def Rebound","defensive rebound","Cavaliers",80,50,"Cavs","vsNCAT",127
2,"0:00","Kyle Duke makes regular free throw 2 of 2",0,"Made FT","makes","Kyle Duke",80,51,"Opp","vsNCAT",128
